iter	MAE
0	156.959999
1	132.4267847
2	119.179374
3	109.4581686
4	105.2895078
5	103.40174
6	101.2539387
7	97.95023332
8	95.27871683
9	91.89074879
10	90.77002608
11	89.06298453
12	87.70269177
13	87.06351186
14	86.30796975
15	85.08758346
16	83.67772773
17	82.7825639
18	81.83527205
19	81.28952802
20	80.21909018
21	79.31547586
22	78.53044922
23	77.81505653
24	77.07861772
25	76.57139726
26	75.42896327
27	74.10576623
28	73.14417698
29	72.33181202
30	72.0786122
31	71.45186439
32	70.82653567
33	69.93895263
34	69.72284446
35	67.92166224
36	67.15445114
37	66.60883959
38	66.06897426
39	65.7284361
40	64.97453164
41	64.4317795
42	63.8283122
43	63.53102888
44	63.15653263
45	62.63434667
46	62.07490969
47	61.49616879
48	61.29761306
49	61.03062488
50	60.55470865
51	60.06619225
52	59.40412063
53	59.26766815
54	58.88787519
55	58.37311915
56	58.104533
57	57.86130873
58	57.37783452
59	57.12591852
60	56.96006208
61	56.67556078
62	56.06826119
63	55.84066849
64	55.49975896
65	55.05456047
66	54.88494697
67	54.7321453
68	54.31503734
69	53.74204888
70	53.5543605
71	53.38837371
72	53.24275794
73	53.06307465
74	52.89599339
75	52.74700857
76	52.55880866
77	52.39765939
78	52.08774984
79	51.95013092
80	51.75427138
81	51.29322415
82	50.96771112
83	50.765979
84	50.62873464
85	50.33400527
86	49.63522751
87	49.07809264
88	48.71669473
89	48.50724239
90	48.32131083
91	48.07899052
92	47.80206281
93	47.72481895
94	47.60427858
95	47.19882561
96	47.12102833
97	46.84343259
98	46.68541223
99	46.41190146
100	46.18283009
101	46.00031768
102	45.60353025
103	45.52018871
104	45.3849126
105	45.23620388
106	45.05993047
107	44.84387256
108	44.63332572
109	44.30718473
110	44.13823645
111	43.99929213
112	43.87147108
113	43.80860454
114	43.71412592
115	43.50686987
116	43.30403189
117	43.16359299
118	43.05544212
119	42.79157449
120	42.73144918
121	42.56829457
122	42.30119861
123	42.13718281
124	42.0173853
125	41.84774496
126	41.71127522
127	41.58985852
128	41.42073908
129	41.29277691
130	41.14219192
131	41.0401358
132	40.7423089
133	40.61633281
134	40.55166228
135	40.42349971
136	40.29084321
137	40.26245849
138	40.04281638
139	39.98783788
140	39.91104688
141	39.79348097
142	39.72405444
143	39.45157464
144	39.2674371
145	39.15335729
146	39.09778895
147	38.99235207
148	38.95010649
149	38.73777895
150	38.48042158
151	38.37470898
152	38.31116913
153	38.26800817
154	38.21908876
155	38.17286818
156	38.07902867
157	38.00169014
158	37.95572097
159	37.89955503
160	37.84878157
161	37.67779448
162	37.47847627
163	37.45431713
164	37.4121424
165	37.26197825
166	37.22652429
167	37.12543741
168	36.84752459
169	36.78373024
170	36.61130733
171	36.50964621
172	36.41860738
173	36.29980588
174	36.22737485
175	36.1566725
176	36.13872295
177	36.02998403
178	35.9999264
179	35.85376892
180	35.69540003
181	35.5685366
182	35.48634497
183	35.41263137
184	35.398446
185	35.26246827
186	35.21550378
187	35.1763581
188	35.15187695
189	35.07963398
190	35.02389074
191	34.98768478
192	34.95791082
193	34.89762042
194	34.83521465
195	34.76343492
196	34.64258511
197	34.55655645
198	34.48242806
199	34.4356918
200	34.29051449
201	34.18750843
202	33.9759674
203	33.83898276
204	33.71261588
205	33.65797424
206	33.52774008
207	33.39559046
208	33.3412723
209	33.30931745
210	33.13165452
211	33.0616886
212	32.97785772
213	32.92318943
214	32.8903928
215	32.81185263
216	32.75788017
217	32.71248142
218	32.4916427
219	32.46610023
220	32.41572727
221	32.38159246
222	32.08807955
223	32.06733072
224	32.02033559
225	31.98966924
226	31.87104617
227	31.82641712
228	31.81038239
229	31.67892138
230	31.60777807
231	31.58195556
232	31.53558347
233	31.47119315
234	31.41369948
235	31.29444311
236	31.229812
237	31.19951222
238	31.17028323
239	31.11170284
240	31.08120425
241	31.0288308
242	30.9470929
243	30.83246352
244	30.82489981
245	30.80131022
246	30.59058599
247	30.54416949
248	30.46345549
249	30.38584018
250	30.34062877
251	30.28244224
252	30.26826479
253	30.15314991
254	30.11597277
255	30.05852717
256	29.97913096
257	29.93339206
258	29.84316658
259	29.79409357
260	29.77938629
261	29.68981675
262	29.68183184
263	29.65007962
264	29.6176206
265	29.53697924
266	29.36327394
267	29.33558871
268	29.29596761
269	29.24277339
270	29.19245624
271	29.15339963
272	29.11832433
273	29.09069794
274	29.07224306
275	29.05768716
276	28.87172983
277	28.85695412
278	28.83151769
279	28.77250783
280	28.74263255
281	28.71974065
282	28.6192753
283	28.60767768
284	28.56871292
285	28.46741622
286	28.3385384
287	28.28740881
288	28.18764554
289	28.16880398
290	28.15275887
291	28.09465747
292	28.07814901
293	28.02511402
294	28.01534229
295	27.98950139
296	27.93948234
297	27.92638443
298	27.87230417
299	27.85743441
300	27.81788729
301	27.79133277
302	27.75879046
303	27.67906104
304	27.64644031
305	27.62095457
306	27.59920985
307	27.57602003
308	27.56792652
309	27.53597539
310	27.51397927
